Sudan,SDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.532
Senegal,SEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.769
Singapore,SGP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.2
Solomon Islands,SLB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.85
Sierra Leone,SLE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.457
El Salvador,SLV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.079
San Marino,SMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Somalia,SOM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.267
Serbia,SRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.46
Sub-Saharan Africa (excluding high income),SSA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.84975598724381
South Sudan,SSD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.855
Sub-Saharan Africa,SSF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.84955021637553
Small states,SST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.90345271572883
Sao Tome and Principe,STP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.456
Suriname,SUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.372
Slovak Republic,SVK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4
Slovenia,SVN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.57
Sweden,SWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.85
Eswatini,SWZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.084
Sint Maarten (Dutch part),SXM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Seychelles,SYC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.78
Syrian Arab Republic,SYR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.916
Turks and Caicos Islands,TCA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Chad,TCD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.947
East Asia & Pacific (IDA & IBRD countries),TEA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8472626151526
Europe & Central Asia (IDA & IBRD countries),TEC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.88597503173641
Togo,TGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.45
Thailand,THA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.482
Tajikistan,TJK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.36
Turkmenistan,TKM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.888
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.07468909106734
Timor-Leste,TLS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.503
Middle East & North Africa (IDA & IBRD countries),TMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.80898968651084
Tonga,TON,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.636
South Asia (IDA & IBRD),TSA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.45961420697189
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.84955021637552
Trinidad and Tobago,TTO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.752
Tunisia,TUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.201
Turkey,TUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.053
Tuvalu,TUV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Tanzania,TZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.016
